Nombre;Apellidos;Fecha de nacimiento;Genero;Peso;Nivel;Telefono;Email;DNI
GORKA;BIDAGUREN;01/01/2005;masculino;;;;;
ALAZNE;FIALLEGAS;02/01/2005;FEMENINO;;;;;
AIDAN;ALVAREZ;03/01/2005;masculino;;;;;
EKAITZ;ALONSO;04/01/2005;masculino;;;;;
IMANOL;LA SALVIA;05/01/2005;masculino;;;;;
OIZANE ;OGUETA;06/01/2005;FEMENINO;;;;;
AMETS;LORENZO;01/01/2010;masculino;;;;;
GAIZKA;MONTAÑO;02/01/2010;masculino;;;;;
UDANE ;MUÑOZ;03/01/2010;FEMENINO;;;;;
lander;fauri;01/01/2012;masculino;;;;;
RUBEN;BLANCO;02/01/2012;masculino;;;;;
ARKAITZ;IRIARTE;03/01/2012;masculino;;;;;
