Nombre;Apellidos;Fecha de nacimiento;Genero;Peso;Nivel;Telefono;Email;DNI
Cleo;Alvarado;2012-12-4;M;;;;;
Cassady;Gutierrez;2013-12-7;M;;;;;
Dale;Hobbs;2012-03-31;M;;;;;
Karina;Mooney;2011-01-14;F;;;;;
Brian;Justice;2014-04-9;M;;;;;
Jonah;Carrillo;2014-04-3;F;;;;;
Jaime;Fulton;2012-09-24;M;;;;;
Cedric;Holmes;2014-05-1;F;;;;;
Marah;Briggs;2013-08-22;F;;;;;
Garrison;Meyers;2013-10-21;F;;;;;
Kelly;Figueroa;2013-11-15;M;;;;;
Kevyn;Horne;2012-09-26;F;;;;;
Mary;Heath;2012-08-3;F;;;;;
Madaline;Gay;2015-05-20;F;;;;;
Robert;Craig;2013-01-22;F;;;;;
Nathan;Jackson;2012-12-24;F;;;;;
Timon;Hobbs;2014-06-29;F;;;;;
Rhonda;Randall;2014-10-2;F;;;;;
Shana;Cannon;2014-03-25;M;;;;;
Marsden;Brock;2015-02-14;F;;;;;
Felix;Odom;2012-10-28;F;;;;;
Tanisha;Evans;2012-05-12;M;;;;;
Keegan;Ballard;2010-03-21;;;;;;;
Igor;Farrell;2010-05-5;M;;;;;
Jamalia;Dawson;2011-04-10;M;;;;;
